congressman_id,name,party,party_id,term
178835,Afonso Motta,PDT,36786,56
160527,Aguinaldo Ribeiro,PP,37903,56
204495,Airton Faleiro,PT,36844,56
204549,AJ Albuquerque,PP,37903,56
178836,Alan Rick,DEM,36769,56
160559,Alceu Moreira,MDB,36899,56
204413,Alcides Rodrigues,PATRIOTA,37907,56
204545,Alê Silva,PSL,36837,56
204501,Alencar Santana Braga,PT,36844,56
160511,Alessandro Molon,PSB,36832,56
178972,Alex Manente,CIDADANIA,37905,56
204571,Alex Santana,PDT,36786,56
204544,Alexandre Frota,PSDB,36835,56
160545,Alexandre Leite,DEM,36769,56
204503,Alexandre Padilha,PT,36844,56
178833,Alexandre Serfiotis,PSD,36834,56
204516,Alexis Fonteyne,NOVO,37901,56
74057,Alice Portugal,PCdoB,36779,56
178927,Aliel Machado,PSB,36832,56
204353,Aline Gurgel,REPUBLICANOS,37908,56
204400,Aline Sleutjes,PSL,36837,56
178937,Altineu Côrtes,PL,37906,56
178881,Aluisio Mendes,PSC,36833,56
204356,Amaro Neto,REPUBLICANOS,37908,56
178831,André Abdon,PP,37903,56
74471,André de Paula,PSD,36834,56
204423,André Ferreira,PSC,36833,56
133439,André Figueiredo,PDT,36786,56
178882,André Fufuca,PP,37903,56
204515,André Janones,AVANTE,36898,56
73696,Angela Amin,PP,37903,56
74212,Aníbal Gomes,DEM,36769,56
160553,Antonio Brito,PSD,36834,56
73433,Arlindo Chinaglia,PT,36844,56
141391,Arnaldo Jardim,CIDADANIA,37905,56
204414,Aroldo Martins,REPUBLICANOS,37908,56
160541,Arthur Lira,PP,37903,56
160600,Arthur Oliveira Maia,DEM,36769,56
159237,Assis Carvalho,PT,36844,56
74090,Átila Lins,PP,37903,56
74459,Átila Lira,PP,37903,56
160665,Augusto Coutinho,SOLIDARIEDADE,37904,56
204509,Áurea Carolina,PSOL,36839,56
160512,Aureo Ribeiro,SOLIDARIEDADE,37904,56
69871,Bacelar,PODE,36896,56
178975,Baleia Rossi,MDB,36899,56
73701,Benedita da Silva,PT,36844,56
109429,Benes Leocádio,REPUBLICANOS,37908,56
141335,Beto Faro,PT,36844,56
204358,Beto Pereira,PSDB,36835,56
178948,Beto Rosado,PP,37903,56
207176,Bia Cavassa,PSDB,36835,56
204374,Bia Kicis,PSL,36837,56
204388,Bibo Nunes,PSL,36837,56
141513,Bilac Pinto,DEM,36769,56
204561,Bira do Pindaré,PSB,36832,56
204397,Boca Aberta,PROS,36763,56
160538,Bohn Gass,PT,36844,56
74052,Bosco Costa,PL,37906,56
204551,Bosco Saraiva,SOLIDARIEDADE,37904,56
204502,Bozzella,PSL,36837,56
160589,Bruna Furlan,PSDB,36835,56
93083,Cacá Leão,PP,37903,56
178853,Caetano,PT,36844,56
204352,Camilo Capiberibe,PSB,36832,56
204572,Capitão Alberto Neto,REPUBLICANOS,37908,56
178829,Capitão Augusto,PL,37906,56
178924,Capitão Fábio Abreu,PL,37906,56
204487,Capitão Wagner,PROS,36763,56
213762,Carla Dickson,PROS,36763,56
204507,Carla Zambelli,PSL,36837,56
141401,Carlos Bezerra,MDB,36899,56
204361,Carlos Chiodini,MDB,36899,56
178962,Carlos Gomes,REPUBLICANOS,37908,56
178993,Carlos Henrique Gaguim,DEM,36769,56
204460,Carlos Jordy,PSL,36837,56
74262,Carlos Sampaio,PSDB,36835,56
204426,Carlos Veras,PT,36844,56
141398,Carlos Zarattini,PT,36844,56
164360,Carmen Zanotto,CIDADANIA,37905,56
204369,Caroline de Toni,PSL,36837,56
204499,Cássio Andrade,PSB,36832,56
204380,Celina Leão,PP,37903,56
204370,Célio Moura,PT,36844,56
178876,Célio Silveira,PSDB,36835,56
204488,Célio Studart,PV,36851,56
141405,Celso Maldaner,MDB,36899,56
73441,Celso Russomanno,REPUBLICANOS,37908,56
204496,Celso Sabino,PSDB,36835,56
204504,Cezinha de Madureira,PSD,36834,56
205476,Charles Fernandes,PSD,36834,56
204490,Charlles Evangelista,PSL,36837,56
141439,Chico D'Angelo,PDT,36786,56
141440,CHICO LOPES,PCdoB,36779,56
204476,Chiquinho Brazão,AVANTE,36898,56
204462,Chris Tonietto,PSL,36837,56
178928,Christiane de Souza Yared,PL,37906,56
204440,Christino Aureo,PP,37903,56
178939,Clarissa Garotinho,PROS,36763,56
74537,Claudio Cajado,PP,37903,56
141408,Cleber Verde,REPUBLICANOS,37908,56
204376,Coronel Armando,PSL,36837,56
204378,Coronel Chrisóstomo,PSL,36837,56
204514,Coronel Tadeu,PSL,36837,56
178963,Covatti Filho,PP,37903,56
135054,Cristiano Vale,PL,37906,56
204355,Da Vitoria,CIDADANIA,37905,56
141411,Dagoberto Nogueira,PDT,36786,56
74467,Damião Feliciano,PDT,36786,56
74060,Daniel Almeida,PCdoB,36779,56
178916,Daniel Coelho,CIDADANIA,37905,56
204367,Daniel Freitas,PSL,36837,56
204454,Daniel Silveira,PSL,36837,56
204409,Daniel Trzeciak,PSDB,36835,56
204459,Daniela do Waguinho,MDB,36899,56
160528,Danilo Cabral,PSB,36832,56
62881,Danilo Forte,PSDB,36835,56
160552,Danrlei de Deus Hinterholz,PSD,36834,56
116379,Darci de Matos,PSD,36834,56
73891,Darcísio Perondi,MDB,36899,56
205548,David Miranda,PSOL,36839,56
204511,David Soares,DEM,36769,56
204451,Delegado Antônio Furtado,PSL,36837,56
178908,Delegado Éder Mauro,PSD,36834,56
204512,Delegado Marcelo Freitas,PSL,36837,56
204569,Delegado Pablo,PSL,36837,56
164359,Delegado Waldir,PSL,36837,56
204542,Denis Bezerra,PSB,36832,56
213856,Deuzinho Filho,REPUBLICANOS,37908,56
160588,Diego Andrade,PSD,36834,56
178929,Diego Garcia,PODE,36896,56
160599,Dimas Fabiano,PP,37903,56
143632,Domingos Neto,PSD,36834,56
160758,Domingos Sávio,PSDB,36835,56
213854,Dr. Agripino Magalhães,PROS,36763,56
204518,Dr. Frederico,PATRIOTA,37907,56
212625,Dr. Gonçalo,REPUBLICANOS,37908,56
204481,Dr. Jaziel,PL,37906,56
213679,Dr. João,PROS,36763,56
